PubmedID,Title,Publication Date,Authors,Company Affiliations,Corresponding Author Email
40066698,Single-cell profiling reveals the intratumor heterogeneity and immunosuppressive microenvironment in cervical adenocarcinoma.,2025-Mar-11,"Yang Peng, Jing Yang, Jixing Ao, Yilin Li, Jia Shen, Xiang He, Dihong Tang, Chaonan Chu, Congrong Liu, Liang Weng",None,N/A
40066676,Arid4a Suppresses Breast Tumor Metastasis by Enhancing MTSS1 Expression via mRNA Stability.,N/A,"Pengfei Wan, Dandan Zhang, Xueting Liu, Wenbao Lu",None,N/A
40066672,Multifunctional Liposomes with Enhanced Stability for Imaging-Guided Cancer Chemodynamic and Photothermal Therapy.,2025-Mar-11,"Jingyu Zhang, Ren Fang, Ningning Song, Yubao Jin, Meiqi Zhang, Jun Wang, Qixian Peng, He Ren, Yumiao Zhang, Xingyue Yang",None,N/A
40066659,Inhibition of HDAC4 in granulosa cells improved co-cultured oocyte maturation in vitro independent of LH in porcine.,2025-Mar-11,"Zhenzi Zuo, Yibing Bao, Lin Lin, Hengxing Li, Tengteng Wang, Guoliang Xia, Chao Wang",None,N/A
40066656,Socioeconomic Disparities in Prostate Cancer Treatment: The Impact of Area Deprivation Index on Initial Treatment Type for Localized PCa in a North-American Cohort.,2025-Mar-11,"Silvia Viganò, Marco Finati, Alex Stephens, Alessandro Bertini, Alessio Finocchiaro, Giovanni Lughezzani, Nicolò Buffi, Andrea Salonia, Alberto Briganti, Francesco Montorsi, Marta Rossanese, Ettore Di Trapani, Vincenzo Ficarra, Akshay Sood, Craig Rogers, Firas Abdollah",None,N/A
40066652,Intestinal polyps and chronic schistosomiasis.,2025-Mar-11,"Vitorino M Santos, Andressa Plaça Tedeschi",None,N/A
40066644,Impact of Neoadjuvant and Adjuvant Pleural Intensity-Modulated Radiotherapy in Multimodality Treatment for Malignant Pleural Mesothelioma.,N/A,"Berta Mosleh, Stefan Schwarz, Anna Cho, Katharina Sinn, Ariane Steindl, Sabine Zöchbauer-Müller, Wolfgang J Köstler, Karin Dieckmann, Martin Heilmann, Joachim Widder, Daniela Gompelmann, Clemens Aigner, Thomas Klikovits, Mir Alireza Hoda",None,N/A
40066615,NTRK protein expression in NSCLC and its clinicopathological correlation.,2025-Feb-26,"Jair Gutierrez-Herrera, M Angeles Montero-Fernandez, Luigi De Petris, Ricardo Guijarro, Simon Ekman, Cristian Ortiz-Villalón",None,N/A
40066580,Comorbidities of hypothyroidism.,2025-Mar-11,"Gabriela Brenta, Ulrike Gottwald-Hostalek",None,N/A
40066559,Prognostic Value of Serum β2-Microglobulin in Predicting Survival of Patients with Diffuse Large B-Cell Lymphoma.,2025-Mar-01,"Jun W Zhong, Xiang Weng, Li Chen",None,N/A
